run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
SRR23716723	SRP425920	SAMN33598349	SRS16961067	SRX19577985	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082426		SINGLE	OTHER	GENOMIC	other	75041	18752770		2023-04-09	2023-04-11	Illumina MiSeq sequencing: GSM7082426: severe group 12 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082426_r1	GSM7082426_r1	1515852	bbf9a0a57420aaa4b339123df39a1f38	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/023/SRR23716723/SRR23716723.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/023/SRR23716723/SRR23716723.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/023/SRR23716723/SRR23716723.fastq.gz							4463681	462026572070975fea5415564056dc9a	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/023/SRR23716723	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/023/SRR23716723	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/023/SRR23716723	GSM7082426		severe group 12		2023-04-09
SRR23716728	SRP425920	SAMN33598352	SRS16961063	SRX19577980	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082423		SINGLE	OTHER	GENOMIC	other	75041	18747590		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082423: severe group 9 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082423_r1	GSM7082423_r1	1379033	c061a60e201bf42f40058bc3c08e3fbe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/028/SRR23716728/SRR23716728.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/028/SRR23716728/SRR23716728.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/028/SRR23716728/SRR23716728.fastq.gz							4808346	3ea0de20965974ef1681c3ddea7ae761	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/028/SRR23716728	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/028/SRR23716728	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/028/SRR23716728	GSM7082423		severe group 9		2023-04-09
SRR23716732	SRP425920	SAMN33598356	SRS16961059	SRX19577976	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082419		SINGLE	OTHER	GENOMIC	other	75070	18740360		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082419: severe group 5 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082419_r1	GSM7082419_r1	1702150	ac459ce36646a897079573437757b499	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/032/SRR23716732/SRR23716732.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/032/SRR23716732/SRR23716732.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/032/SRR23716732/SRR23716732.fastq.gz							4809830	cd4af41bd95f5207a03dd01632a7def7	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/032/SRR23716732	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/032/SRR23716732	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/032/SRR23716732	GSM7082419		severe group 5		2023-04-09
SRR23716734	SRP425920	SAMN33598343	SRS16961057	SRX19577974	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082432		SINGLE	OTHER	GENOMIC	other	150112	37500330		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082432: severe group 18 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082432_r1	GSM7082432_r1	3197657	9b8f3b8a03b970bc62460f44b23d50f2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/034/SRR23716734/SRR23716734.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/034/SRR23716734/SRR23716734.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/034/SRR23716734/SRR23716734.fastq.gz							9437970	5c965b92a0abfc80bc1e472b50c52efc	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/034/SRR23716734	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/034/SRR23716734	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/034/SRR23716734	GSM7082432		severe group 18		2023-04-09
SRR23716737	SRP425920	SAMN33598345	SRS16961054	SRX19577971	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082430		SINGLE	OTHER	GENOMIC	other	68437	17102390		2023-04-09	2023-04-11	Illumina MiSeq sequencing: GSM7082430: severe group 16 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082430_r1	GSM7082430_r1	935697	492a08d21a660c259c9040335faa4fb2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/037/SRR23716737/SRR23716737.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/037/SRR23716737/SRR23716737.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/037/SRR23716737/SRR23716737.fastq.gz							3729052	5c9d814f607a064cdfa3efaa41e5c0d1	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/037/SRR23716737	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/037/SRR23716737	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/037/SRR23716737	GSM7082430		severe group 16		2023-04-09
SRR23716738	SRP425920	SAMN33598346	SRS16961053	SRX19577970	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082429		SINGLE	OTHER	GENOMIC	other	75063	18757160		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082429: severe group 15 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082429_r1	GSM7082429_r1	1447768	5bb11dc059a2196ea6d07a361f275927	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/038/SRR23716738/SRR23716738.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/038/SRR23716738/SRR23716738.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/038/SRR23716738/SRR23716738.fastq.gz							4622254	928cb2a81eb878ec9df8535f3d5bd20c	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/038/SRR23716738	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/038/SRR23716738	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/038/SRR23716738	GSM7082429		severe group 15		2023-04-09
SRR23716740	SRP425920	SAMN33598359	SRS16961049	SRX19577968	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082416		SINGLE	OTHER	GENOMIC	other	75044	18748100		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082416: severe group 2 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082416_r1	GSM7082416_r1	1390560	6fdd0b5b611f08fd06433c11ef5c16cc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/040/SRR23716740/SRR23716740.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/040/SRR23716740/SRR23716740.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/040/SRR23716740/SRR23716740.fastq.gz							4811009	90d51cae8ad1ac613c8087a5cb4953b6	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/040/SRR23716740	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/040/SRR23716740	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/040/SRR23716740	GSM7082416		severe group 2		2023-04-09
SRR23716742	SRP425920	SAMN33598373	SRS16961050	SRX19577966	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082402		SINGLE	OTHER	GENOMIC	other	75036	18752150		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082402: mild group 5 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082402_r1	GSM7082402_r1	1434582	846ec6be689e98b26c0a07a815905167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/042/SRR23716742/SRR23716742.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/042/SRR23716742/SRR23716742.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/042/SRR23716742/SRR23716742.fastq.gz							4691012	611debdcab86204bb82507fb3b1710f8	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/042/SRR23716742	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/042/SRR23716742	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/042/SRR23716742	GSM7082402		mild group 5		2023-04-09
SRR23716746	SRP425920	SAMN33598369	SRS16961045	SRX19577962	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082406		SINGLE	OTHER	GENOMIC	other	75098	18763160		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082406: mild group 9 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082406_r1	GSM7082406_r1	1819841	03620561ba0fdfdcd46abe437bf40b6f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/046/SRR23716746/SRR23716746.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/046/SRR23716746/SRR23716746.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/046/SRR23716746/SRR23716746.fastq.gz							4740443	d4a0a7a35321d0dda81fa06eb4a5c2d5	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/046/SRR23716746	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/046/SRR23716746	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/046/SRR23716746	GSM7082406		mild group 9		2023-04-09
SRR23716750	SRP425920	SAMN33598365	SRS16961041	SRX19577958	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082410		SINGLE	OTHER	GENOMIC	other	75063	18757210		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082410: mild group 13 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082410_r1	GSM7082410_r1	1482295	a877b54760dbb23b2a09eb925a7c7943	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/050/SRR23716750/SRR23716750.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/050/SRR23716750/SRR23716750.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/050/SRR23716750/SRR23716750.fastq.gz							4611214	24e8334fb4fc213fdfeafaceefa108c6	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/050/SRR23716750	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/050/SRR23716750	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/050/SRR23716750	GSM7082410		mild group 13		2023-04-09
SRR23716752	SRP425920	SAMN33598363	SRS16961039	SRX19577956	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082412		SINGLE	OTHER	GENOMIC	other	75049	18752440		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082412: mild group 15 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082412_r1	GSM7082412_r1	1504769	6924791e006bb240e570bff92a162f04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/052/SRR23716752/SRR23716752.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/052/SRR23716752/SRR23716752.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/052/SRR23716752/SRR23716752.fastq.gz							4716468	b45cabddaa2797518078caff3f995765	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/052/SRR23716752	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/052/SRR23716752	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/052/SRR23716752	GSM7082412		mild group 15		2023-04-09
SRR23716755	SRP425920	SAMN33598372	SRS16961035	SRX19577953	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082403		SINGLE	OTHER	GENOMIC	other	75039	18752910		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082403: mild group 6 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082403_r1	GSM7082403_r1	1316615	6e2031197a4cc96c5ad6b083e2200f52	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/055/SRR23716755/SRR23716755.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/055/SRR23716755/SRR23716755.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/055/SRR23716755/SRR23716755.fastq.gz							4688208	1d2db4a70259f95013fee3c421565b01	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/055/SRR23716755	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/055/SRR23716755	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/055/SRR23716755	GSM7082403		mild group 6		2023-04-09
SRR23716757	SRP425920	SAMN33598377	SRS16961036	SRX19577951	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082398		SINGLE	OTHER	GENOMIC	other	75058	18757300		2023-04-09	2023-04-11	Illumina MiSeq sequencing: GSM7082398: mild group 1 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082398_r1	GSM7082398_r1	1852810	62349ef82828daaa8b4fab72e550665c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/057/SRR23716757/SRR23716757.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/057/SRR23716757/SRR23716757.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/057/SRR23716757/SRR23716757.fastq.gz							4794934	a48db343d37b75f9e1829afee3ca2c7f	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/057/SRR23716757	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/057/SRR23716757	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/057/SRR23716757	GSM7082398		mild group 1		2023-04-09
